series,catalog_matrix_group,feature_key,feature_name_vi,feature_name_en,category,availability,condition,source_page,confidence
FTKZ,FTKZ,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,MODEL_SPECIFIC,25/35 only,4-5,VERIFIED
FTKM,FTKM,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,NO,,4-5,VERIFIED
FTKY,FTKY,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,NO,,4-5,VERIFIED
FTKF,FTKF_ATKF,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,NO,,4-5,VERIFIED
ATKF,FTKF_ATKF,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,NO,,4-5,VERIFIED
FTKB,FTKB_ATKB,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,NO,,4-5,VERIFIED
FTHB,FTHB,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,NO,,4-5,VERIFIED
FTF,FTF,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,NO,,4-5,VERIFIED
FTXM,FTXM,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,MODEL_SPECIFIC,25/35 only,4-5,VERIFIED
FTXV,FTXV,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,MODEL_SPECIFIC,25/35 only,4-5,VERIFIED
FTHF,FTHF,intelligent_eye_2_area,Cảm biến hai khu vực,Mắt thần thông minh 2 khu vực,energy,NO,,4-5,VERIFIED
FTKZ,FTKZ,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
FTKM,FTKM,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
FTKY,FTKY,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
FTHB,FTHB,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
FTF,FTF,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
FTXM,FTXM,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
FTXV,FTXV,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
FTHF,FTHF,standby_saving,Chế độ chờ tiết kiệm điện,Chế độ chờ tiết kiệm điện,energy,YES,,4-5,VERIFIED
FTKZ,FTKZ,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
FTKM,FTKM,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
FTKY,FTKY,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
FTHB,FTHB,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
FTF,FTF,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
FTXM,FTXM,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
FTXV,FTXV,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
FTHF,FTHF,econo,Chế độ ECONO,Chế độ tiết kiệm điện ECONO,energy,YES,,4-5,VERIFIED
FTKZ,FTKZ,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,YES,,4-5,VERIFIED
FTKM,FTKM,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,YES,,4-5,VERIFIED
FTKY,FTKY,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
ATKB,FTKB_ATKB,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
FTHB,FTHB,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
FTF,FTF,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,NO,,4-5,VERIFIED
FTXM,FTXM,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
FTXV,FTXV,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
FTHF,FTHF,smartphone_control,Điều khiển qua điện thoại,Điều khiển thông minh qua điện thoại,smart_control,OPTIONAL_ACCESSORY,Tùy chọn,4-5,VERIFIED
FTKZ,FTKZ,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,YES,,4-5,VERIFIED
FTKM,FTKM,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,YES,,4-5,VERIFIED
FTKY,FTKY,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,NO,,4-5,VERIFIED
FTHB,FTHB,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,NO,,4-5,VERIFIED
FTF,FTF,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,NO,,4-5,VERIFIED
FTXM,FTXM,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,YES,,4-5,VERIFIED
FTXV,FTXV,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,YES,,4-5,VERIFIED
FTHF,FTHF,backlit_remote,Điều khiển có đèn nền,Điều khiển từ xa không dây có đèn nền,smart_control,MODEL_SPECIFIC,50/60/71 only,4-5,VERIFIED
FTKZ,FTKZ,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,NO,,4-5,VERIFIED
FTKM,FTKM,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,NO,,4-5,VERIFIED
FTKY,FTKY,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,NO,,4-5,VERIFIED
ATKF,FTKF_ATKF,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,NO,,4-5,VERIFIED
FTKB,FTKB_ATKB,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,NO,,4-5,VERIFIED
ATKB,FTKB_ATKB,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,NO,,4-5,VERIFIED
FTHB,FTHB,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,NO,,4-5,VERIFIED
FTF,FTF,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,NO,,4-5,VERIFIED
FTXM,FTXM,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,NO,,4-5,VERIFIED
FTXV,FTXV,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,NO,,4-5,VERIFIED
FTHF,FTHF,child_lock,Khóa trẻ em,Chế độ khóa trẻ em,smart_control,MODEL_SPECIFIC,50/60/71 only,4-5,VERIFIED
FTKZ,FTKZ,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,24H,4-5,VERIFIED
FTKM,FTKM,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,24H,4-5,VERIFIED
FTKY,FTKY,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,,4-5,VERIFIED
FTHB,FTHB,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,,4-5,VERIFIED
FTF,FTF,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,,4-5,VERIFIED
FTXM,FTXM,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,24H,4-5,VERIFIED
FTXV,FTXV,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,24H,4-5,VERIFIED
FTHF,FTHF,timer,Hẹn giờ,Cài đặt thời gian tắt/mở hẹn giờ,smart_control,YES,,4-5,VERIFIED
FTKZ,FTKZ,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,YES,,4-5,VERIFIED
FTKM,FTKM,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,YES,,4-5,VERIFIED
FTKY,FTKY,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,YES,,4-5,VERIFIED
FTKF,FTKF_ATKF,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,YES,,4-5,VERIFIED
FTHB,FTHB,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,YES,,4-5,VERIFIED
FTF,FTF,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,NO,,4-5,VERIFIED
FTXM,FTXM,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,NO,,4-5,VERIFIED
FTXV,FTXV,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,NO,,4-5,VERIFIED
FTHF,FTHF,super_pcb,Bảo vệ bo mạch,Super PCB bảo vệ bo mạch khi điện áp thay đổi,durability,MODEL_SPECIFIC,25/35 only,4-5,VERIFIED
FTKZ,FTKZ,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,MODEL_SPECIFIC,25/35 only,4-5,VERIFIED
FTKM,FTKM,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,YES,,4-5,VERIFIED
FTKY,FTKY,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,MODEL_SPECIFIC,25/35 only,4-5,VERIFIED
FTKF,FTKF_ATKF,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,MODEL_SPECIFIC,25/35/50 only,4-5,VERIFIED
ATKF,FTKF_ATKF,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,YES,ATKF25/35,4-5,VERIFIED
FTKB,FTKB_ATKB,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,MODEL_SPECIFIC,25/35/50 only,4-5,VERIFIED
ATKB,FTKB_ATKB,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,YES,ATKB25/35,4-5,VERIFIED
FTHB,FTHB,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,YES,,4-5,VERIFIED
FTF,FTF,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,YES,,4-5,VERIFIED
FTXM,FTXM,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,YES,,4-5,VERIFIED
FTXV,FTXV,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,YES,,4-5,VERIFIED
FTHF,FTHF,anti_corrosion_fin,Dàn tản nhiệt chống ăn mòn,Dàn tản nhiệt ống đồng cánh nhôm chống ăn mòn,durability,YES,,4-5,VERIFIED
FTKZ,FTKZ,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,MODEL_SPECIFIC,50/60/71 only,4-5,VERIFIED
FTKM,FTKM,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,NO,,4-5,VERIFIED
FTKY,FTKY,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,MODEL_SPECIFIC,50/60/71 only,4-5,VERIFIED
FTKF,FTKF_ATKF,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,MODEL_SPECIFIC,60/71 only,4-5,VERIFIED
ATKF,FTKF_ATKF,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,NO,,4-5,VERIFIED
FTKB,FTKB_ATKB,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,MODEL_SPECIFIC,60 only,4-5,VERIFIED
ATKB,FTKB_ATKB,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,NO,,4-5,VERIFIED
FTHB,FTHB,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,NO,,4-5,VERIFIED
FTF,FTF,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,NO,,4-5,VERIFIED
FTXM,FTXM,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,NO,,4-5,VERIFIED
FTXV,FTXV,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,NO,,4-5,VERIFIED
FTHF,FTHF,microchannel,Cánh tản nhiệt Microchannel,Cánh tản nhiệt Microchannel chống ăn mòn (MCHE),durability,NO,,4-5,VERIFIED
FTKZ,FTKZ,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,NO,,4-5,VERIFIED
FTKM,FTKM,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,YES,,4-5,VERIFIED
FTKY,FTKY,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,NO,,4-5,VERIFIED
FTKF,FTKF_ATKF,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,YES,,4-5,VERIFIED
ATKF,FTKF_ATKF,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,YES,,4-5,VERIFIED
FTKB,FTKB_ATKB,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,YES,,4-5,VERIFIED
ATKB,FTKB_ATKB,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,YES,,4-5,VERIFIED
FTHB,FTHB,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,YES,,4-5,VERIFIED
FTF,FTF,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,NO,,4-5,VERIFIED
FTXM,FTXM,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,NO,,4-5,VERIFIED
FTXV,FTXV,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,NO,,4-5,VERIFIED
FTHF,FTHF,dual_power_supply,Hỗ trợ cấp nguồn dàn nóng hoặc dàn lạnh,Cấp nguồn dàn nóng / dàn lạnh,installation,NO,,4-5,VERIFIED
